# DISTANCE:     AVE_GOFR:        ERROR:
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 4.05256e-06 3.79082e-06
    0.884913  0.00120745 3.70465e-05
    0.910562   0.0234646 0.000383207
    0.936212    0.164791   0.0021787
    0.961861    0.563098  0.00465736
    0.987511     1.19499  0.00749851
     1.01316     1.86531  0.00707567
     1.03881     2.33347  0.00643185
     1.06446     2.54683  0.00322095
     1.09011     2.54237  0.00283067
     1.11576     2.41161  0.00523926
     1.14141     2.21127  0.00434887
     1.16706     1.98065  0.00508574
     1.19271     1.75922  0.00491071
     1.21836     1.56069  0.00537536
     1.24401     1.38961  0.00433754
     1.26966     1.24605  0.00366479
     1.29531      1.1273  0.00316297
     1.32096     1.02609  0.00332931
     1.34661    0.941673  0.00221291
     1.37226    0.869506  0.00320395
     1.39791    0.819704  0.00181736
     1.42355    0.774583  0.00248043
      1.4492    0.739345  0.00157472
     1.47485    0.710035  0.00176047
      1.5005    0.689719  0.00242675
     1.52615    0.677072  0.00175411
      1.5518    0.670311  0.00131616
     1.57745    0.670887  0.00185761
      1.6031    0.672297  0.00224049
     1.62875    0.684098  0.00194912
      1.6544    0.699872  0.00261794
     1.68005    0.724544  0.00337935
      1.7057    0.748009  0.00237406
     1.73135    0.778943  0.00243256
       1.757    0.814656  0.00336711
     1.78265    0.849752  0.00223359
      1.8083    0.892945  0.00142736
     1.83395    0.934172  0.00194776
      1.8596    0.975231  0.00189847
     1.88525     1.02012  0.00226706
      1.9109     1.05703  0.00207529
     1.93655     1.09555 0.000739588
      1.9622     1.13381  0.00264654
     1.98785     1.16323  0.00225588
      2.0135     1.18674  0.00183182
     2.03915     1.20456  0.00242109
      2.0648     1.21557  0.00264222
     2.09045     1.21826  0.00195127
      2.1161      1.2108   0.0021615
     2.14174     1.19537   0.0028725
     2.16739     1.17555  0.00314601
     2.19304     1.15182  0.00243035
     2.21869     1.12288  0.00254428
     2.24434      1.0947  0.00232006
     2.26999     1.06642  0.00135793
     2.29564     1.03926  0.00142641
     2.32129     1.01359  0.00224424
     2.34694    0.987308  0.00196967
     2.37259    0.967487 0.000852772
     2.39824    0.945563  0.00151959
     2.42389    0.929903  0.00119409
     2.44954    0.917975  0.00142432
     2.47519    0.907767  0.00169506
     2.50084    0.895163  0.00130452
     2.52649     0.88472  0.00139271
     2.55214    0.885125  0.00193191
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 3.60228e-06 3.39626e-06
    0.884913  0.00118537 3.89569e-05
    0.910562   0.0235648 0.000353498
    0.936212    0.165076   0.0019552
    0.961861    0.563876  0.00420424
    0.987511      1.1956  0.00669018
     1.01316     1.86588  0.00631275
     1.03881     2.33443  0.00578881
     1.06446     2.54784  0.00301901
     1.09011     2.54467  0.00331856
     1.11576     2.41332  0.00492664
     1.14141     2.21105  0.00387135
     1.16706     1.97812  0.00511496
     1.19271     1.75833  0.00444416
     1.21836     1.56058  0.00477922
     1.24401     1.38942  0.00385977
     1.26966      1.2467  0.00331353
     1.29531     1.12611  0.00302745
     1.32096     1.02588  0.00296644
     1.34661    0.941001  0.00206649
     1.37226    0.870578  0.00302188
     1.39791    0.819242  0.00167319
     1.42355    0.774671  0.00220639
      1.4492    0.739781  0.00145894
     1.47485    0.709943  0.00156729
      1.5005    0.688932  0.00228123
     1.52615    0.676384  0.00168881
      1.5518    0.669096  0.00163762
     1.57745    0.669706  0.00199149
      1.6031    0.671682  0.00207428
     1.62875    0.683637  0.00178634
      1.6544     0.69996  0.00232855
     1.68005    0.724325  0.00301091
      1.7057    0.748558   0.0021727
     1.73135    0.779238  0.00218011
       1.757    0.814597  0.00299351
     1.78265    0.850837  0.00223339
      1.8083    0.894147  0.00170108
     1.83395    0.935363  0.00206373
      1.8596    0.975585   0.0017202
     1.88525     1.02048  0.00204332
      1.9109     1.05797  0.00204678
     1.93655      1.0958 0.000697857
      1.9622     1.13357  0.00236345
     1.98785     1.16337  0.00200924
      2.0135     1.18778   0.0019001
     2.03915     1.20515  0.00222446
      2.0648     1.21669  0.00257565
     2.09045     1.21835  0.00173671
      2.1161     1.21098    0.001929
     2.14174      1.1948  0.00260999
     2.16739     1.17551  0.00279673
     2.19304     1.15149  0.00218241
     2.21869     1.12289  0.00226161
     2.24434      1.0937  0.00226618
     2.26999      1.0658  0.00134253
     2.29564     1.03877  0.00135032
     2.32129     1.01341  0.00200164
     2.34694    0.987402  0.00175308
     2.37259    0.967378 0.000765056
     2.39824    0.945926  0.00139351
     2.42389    0.929656  0.00108655
     2.44954    0.917518  0.00133741
     2.47519    0.907358  0.00155534
     2.50084    0.894261  0.00143789
     2.52649    0.884824  0.00124183
     2.55214    0.885414  0.00173879
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
